City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Youkounkoun,GN,2021-05-26 17:27:03,12.5333,-13.1333,100.17,22,100,5.61
157,La Ronge,CA,2021-05-26 17:27:03,55.1001,-105.2842,39.45,45,1,4.61
158,Khrebtovaya,RU,2021-05-26 17:27:03,56.7032,104.2494,30.34,94,69,5.48
159,Kamenka,RU,2021-05-26 17:27:03,51.3223,42.7678,62.15,65,73,5.06
160,Hamilton,US,2021-05-26 17:26:47,39.1834,-84.5333,73.08,93,90,8.95
161,Te Anau,NZ,2021-05-26 17:23:35,-45.4167,167.7167,39.92,92,85,3.15
162,Caravelas,BR,2021-05-26 17:27:04,-17.7125,-39.2481,76.19,88,87,6.73
163,Sao Filipe,CV,2021-05-26 17:27:04,14.8961,-24.4956,76.1,70,1,7.36
164,Bulungu,CD,2021-05-26 17:27:04,-4.55,18.6,78.04,53,12,0.29
165,San Patricio,US,2021-05-26 17:27:05,28.017,-97.5169,90.01,67,11,15.84
166,Georgetown,MY,2021-05-26 17:27:05,5.4112,100.3354,84.13,87,20,0.0
167,Canutama,BR,2021-05-26 17:27:05,-6.5339,-64.3831,92.41,46,39,4.34
168,Vao,NC,2021-05-26 17:23:33,-22.6667,167.4833,71.35,69,48,11.86
169,Faanui,PF,2021-05-26 17:27:06,-16.4833,-151.75,81.25,75,55,14.63
170,Bambanglipuro,ID,2021-05-26 17:27:06,-7.95,110.2833,77.81,84,72,5.86
171,Visby,SE,2021-05-26 17:27:06,57.6409,18.296,52.05,81,75,21.85
172,Ponta Do Sol,PT,2021-05-26 17:27:07,32.6667,-17.1,73.0,71,90,3.65
173,Meulaboh,ID,2021-05-26 17:27:07,4.1363,96.1285,79.23,82,100,6.33
174,Pickerington,US,2021-05-26 17:27:07,39.8842,-82.7535,84.25,55,75,3.0
175,Ixtapa,MX,2021-05-26 17:27:07,20.7,-105.2,81.63,61,1,5.75
176,Nadym,RU,2021-05-26 17:27:08,65.5333,72.5167,40.59,86,100,17.38
177,Rundu,NA,2021-05-26 17:27:08,-17.9333,19.7667,64.63,35,0,5.21
178,Tuktoyaktuk,CA,2021-05-26 17:27:08,69.4541,-133.0374,28.4,80,75,6.91
179,Hofn,IS,2021-05-26 17:27:09,64.2539,-15.2082,50.02,62,20,12.66
180,Yiyang,CN,2021-05-26 17:27:09,28.5892,112.3283,66.43,92,99,2.75
181,Saint George,US,2021-05-26 17:25:19,37.1041,-113.5841,88.27,13,1,1.99
182,Kavaratti,IN,2021-05-26 17:27:09,10.5669,72.642,84.06,72,97,16.49
183,Ambon,ID,2021-05-26 17:27:10,-3.6954,128.1814,77.14,94,40,13.13
184,Big Rapids,US,2021-05-26 17:27:10,43.6981,-85.4837,73.9,53,40,14.97
185,Huambo,AO,2021-05-26 17:27:10,-12.7761,15.7392,61.32,47,0,2.62
186,Puerto El Triunfo,SV,2021-05-26 17:27:10,13.2833,-88.55,95.86,52,90,5.88
187,Syracuse,IT,2021-05-26 17:27:11,37.0881,15.2792,75.25,65,11,6.35
