City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Bethel,US,41.3712,-73.414,76.69,54,1,11.5,clear sky
114,Patnagarh,IN,20.7167,83.15,78.31,60,100,2.26,overcast clouds
115,Lavrentiya,RU,65.5833,-171.0,34.38,89,7,8.52,clear sky
116,Dandong,CN,40.1292,124.3947,55.89,79,100,12.1,overcast clouds
117,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,75,7.47,broken clouds
118,Santa Cruz,BO,-17.8,-63.1667,77.05,69,75,13.8,broken clouds
119,Klaksvik,FO,62.2266,-6.589,43.72,88,80,14.94,broken clouds
120,Tornio,FI,65.8481,24.1466,37.42,81,52,6.91,broken clouds
121,Sambava,MG,-14.2667,50.1667,70.21,86,2,7.54,clear sky
122,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,10.36,broken clouds
123,Korhogo,CI,9.45,-5.6333,78.91,67,80,1.48,light rain
124,Egvekinot,RU,66.3167,-179.1667,36.68,71,100,8.32,overcast clouds
125,Burnie,AU,-41.0667,145.9167,50.94,58,12,7.92,few clouds
126,Jamestown,US,42.097,-79.2353,64.09,49,1,3.0,clear sky
127,Reserva,BR,-24.6503,-50.8506,59.65,84,75,0.51,broken clouds
128,Kailua,US,21.4022,-157.7394,86.02,61,40,10.36,scattered clouds
129,Ust-Nera,RU,64.5667,143.2,50.45,60,65,6.15,broken clouds
130,Agirish,RU,61.9247,63.0231,40.19,63,100,3.47,overcast clouds
131,Port Lincoln,AU,-34.7333,135.8667,59.58,67,100,9.1,overcast clouds
132,Roma,US,43.2128,-75.4557,62.46,53,1,1.99,clear sky
133,Thompson,CA,55.7435,-97.8558,57.36,26,75,11.5,broken clouds
134,Badou,TG,7.5833,0.6,74.28,94,99,1.9,light rain
135,Coruripe,BR,-10.1256,-36.1756,75.18,78,36,8.99,scattered clouds
136,Erenhot,CN,43.6475,111.9767,49.8,43,6,9.22,clear sky
137,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.79,39,1,3.62,clear sky
138,Brae,GB,60.3964,-1.353,46.31,88,29,7.7,scattered clouds
139,Ribeira Grande,PT,38.5167,-28.7,59.74,62,100,9.22,overcast clouds
140,Port-Cartier,CA,50.0334,-66.8654,44.82,45,71,16.22,broken clouds
141,Grand Gaube,MU,-20.0064,57.6608,74.37,77,6,3.0,clear sky
142,Aklavik,CA,68.2191,-135.0107,34.63,60,75,14.97,broken clouds
143,Safford,US,32.834,-109.7076,96.06,6,1,10.36,clear sky
144,Porto Novo,BJ,6.4965,2.6036,84.02,81,90,8.05,overcast clouds
145,Deputatskiy,RU,69.3,139.9,54.45,45,34,9.89,scattered clouds
146,Portland,US,45.5234,-122.6762,66.81,51,75,3.0,broken clouds
147,Meulaboh,ID,4.1363,96.1285,76.05,86,90,3.83,overcast clouds
148,Male,MV,4.1748,73.5089,84.15,79,75,26.46,broken clouds
149,Bontang,ID,0.1333,117.5,79.36,86,13,2.37,few clouds
150,Kaitangata,NZ,-46.2817,169.8464,50.94,86,100,2.95,overcast clouds
